TAIR ID;Short name;Full name;downregulated in following transcriptomes;upregulated in following transcriptomes;the number of transcriptomes where registered as DEG (FDR<0.05);start of expression changes;1_logFC_0.5h_PRJEB19862;2_logFC_0.5h_GSE18975;3_logFC_1h_GSE149410;4_logFC_1h_GSE18975;5_logFC_2h_GSE3350;6_logFC_2h_GSE35580;7_logFC_2h_GSE42896;8_logFC_2h_GSE627;9_logFC_3h_GSE18975;10_logFC_3h_GSE58028;11_logFC_4h_SRP033494;12_logFC_4h_GSE42007;13_logFC_4h_GSE7432;14_logFC_6h_SRP102803;15_logFC_6h_GSE3350;16_logFC_6h_GSE42896;17_logFC_6h_GSE59426;18_logFC_8h_GSE42007;19_logFC_12h_GSE42007;20_logFC_18h_GSE59741;21_logFC_24h_GSE42007;22_logFC_55h_SRP074436;23_logFC_72h_SRP214076;FDR_0.5h_PRJEB19862;FDR_0.5h_GSE18975;FDR_1h_GSE149410;FDR_1h_GSE18975;FDR_2h_GSE3350;FDR_2h_GSE35580;FDR_2h_GSE42896;FDR_2h_GSE627;FDR_3h_GSE18975;FDR_3h_GSE58028;FDR_4h_SRP033494;FDR_4h_GSE42007;FDR_4h_GSE7432;FDR_6h_SRP102803;FDR_6h_GSE3350;FDR_6h_GSE42896;FDR_6h_GSE59426;FDR_8h_GSE42007;FDR_12h_GSE42007;FDR_18h_GSE59741;FDR_24h_GSE42007;FDR_55h_SRP074436;FDR_72h_SRP214076
AT3G14620;CYP72A8;cytochrome P450, family 72, subfamily A, polypeptide 8(CYP72A8);18;3#6#9#15-17#22-23;9;1h;;;1.6;;;1.3;;;1.2;;;;;;1.7;0.5;0.7;-0.9;;;;1.1;1.6;;;1.1E-07;;;6.1E-03;;;9.4E-06;;;;;;6.9E-03;4.7E-02;1.1E-02;6.5E-03;;;;1.1E-05;1.1E-02
AT1G23730;BCA3;beta carbonic anhydrase 3(BCA3);1#19;3#6#8-9#11#22-23;9;0.5h;-0.3;;2.9;;;2.7;;1.3;1.7;;4.6;;;;;;;;-1.6;;;1.5;1.4;1.7E-02;;8.7E-03;;;6.7E-05;;2.0E-03;2.7E-06;;1.8E-22;;;;;;;;2.2E-03;;;1.3E-05;1.7E-02
AT2G41090;CML10;Calcium-binding EF-hand family protein(AT2G41090);;3#6#11-12#17-19#22-23;9;1h;;;1.4;;;1.2;;;;;1.9;1.2;;;;;0.8;1.7;1.4;;;0.9;1.5;;;1.1E-05;;;8.4E-04;;;;;1.6E-08;1.8E-02;;;;;1.5E-04;3.7E-03;4.5E-03;;;1.2E-02;1.9E-04
AT4G00070;AT4G00070;RING/U-box superfamily protein(AT4G00070);;3#6#11-12#16-19#22;9;1h;;;1.4;;;1.8;;;;;1.1;1.1;;;;1.1;0.7;1.2;1.3;;;2.7;;;;4.8E-04;;;1.6E-04;;;;;2.5E-14;3.6E-03;;;;2.6E-04;1.3E-03;1.1E-03;4.8E-02;;;3.9E-02;
AT5G23270;STP11;sugar transporter 11(STP11);22;3#6#11-12#15-16#18-19;9;1h;;;4.2;;;1.0;;;;;5.4;1.5;;Inf;0.5;1.1;;2.0;1.6;;;-5.5;;;;1.6E-04;;;2.2E-03;;;;;4.3E-10;9.1E-03;;7.7E-03;1.9E-02;1.4E-04;;1.5E-04;6.1E-03;;;6.5E-04;
AT5G24870;AT5G24870;RING/U-box superfamily protein(AT5G24870);;3#6#11#15#17-21;9;1h;;;0.6;;;0.6;;;;;0.5;;;;0.4;;0.5;0.9;0.9;0.8;1.2;;;;;3.8E-04;;;1.4E-02;;;;;5.1E-05;;;;4.0E-02;;8.5E-03;9.0E-04;7.9E-03;4.1E-02;1.7E-02;;
AT1G08050;AT1G08050;Zinc finger (C3HC4-type RING finger) family protein(AT1G08050);;3#5-7#9#12#15#17#22;9;1h;;;1.0;;0.7;0.7;0.9;;0.6;;;0.5;;;0.5;;0.8;;;;;3.3;;;;1.2E-02;;8.2E-03;2.9E-03;8.6E-04;;7.8E-04;;;3.8E-02;;;1.8E-02;;4.2E-04;;;;;3.3E-26;
AT1G08280;GALT29A;Glycosyltransferase family 29 (sialyltransferase) family protein(AT1G08280);;3#5-7#11#15-16#19#22;9;1h;;;0.8;;2.1;0.7;1.5;;;;0.8;;;;1.8;1.6;;;0.6;;;0.6;;;;3.6E-02;;2.5E-04;2.4E-02;5.4E-04;;;;2.8E-15;;;;2.8E-04;6.2E-05;;;2.0E-02;;;7.2E-03;
AT2G39210;AT2G39210;Major facilitator superfamily protein(AT2G39210);12#17;3#5-6#8-9#22-23;9;1h;;;0.6;;0.6;1.5;;1.2;0.7;;;-1.6;;;;;-0.5;;;;;2.5;2.0;;;4.0E-02;;1.3E-02;7.4E-05;;9.9E-03;2.8E-04;;;4.2E-02;;;;;2.2E-02;;;;;8.1E-10;6.6E-05
AT3G20460;AT3G20460;Major facilitator superfamily protein(AT3G20460);;3#5#7#9#11#15-17#22;9;1h;;;0.6;;1.0;;1.3;;0.3;;0.9;;;;1.3;1.2;0.4;;;;;1.9;;;;3.9E-02;;3.8E-02;;3.6E-04;;3.3E-02;;1.3E-07;;;;1.5E-03;6.1E-05;4.2E-03;;;;;1.1E-08;
AT4G02940;AT4G02940;oxidoreductase, 2OG-Fe(II) oxygenase family protein(AT4G02940);9#11#18;3#5#7#15#17#23;9;1h;;;0.7;;1.6;;2.1;;-0.4;;-0.2;;;;0.8;;0.4;-1.0;;;;;1.0;;;1.8E-03;;2.2E-03;;8.6E-05;;4.7E-02;;1.1E-02;;;;8.4E-03;;2.9E-02;2.1E-02;;;;;3.1E-07
AT4G22070;WRKY31;WRKY DNA-binding protein 31(WRKY31);18-19#21;3#5#7#15#17#22;9;1h;;;1.3;;0.9;;1.4;;;;;;;;0.4;;0.9;-0.9;-1.2;;-1.0;5.6;;;;1.3E-04;;2.7E-03;;1.2E-04;;;;;;;;3.2E-02;;1.5E-03;5.8E-03;3.6E-02;;4.4E-02;4.5E-06;
AT1G33110;AT1G33110;MATE efflux family protein(AT1G33110);4#9#16#18;3#5#7#11#17;9;1h;;;0.6;-0.5;0.8;;1.0;;-0.3;;0.4;;;;;-0.5;0.7;-0.7;;;;;;;;1.6E-02;6.1E-03;1.1E-02;;1.5E-03;;1.8E-02;;1.0E-04;;;;;3.1E-02;2.1E-04;3.2E-02;;;;;
AT5G11950;LOG8;Putative lysine decarboxylase family protein(LOG8);;3#5#7#11#15-17#22-23;9;1h;;;0.5;;0.6;;0.7;;;;0.6;;;;0.4;0.4;0.5;;;;;0.4;0.7;;;3.6E-02;;3.1E-02;;7.9E-03;;;;1.2E-07;;;;3.5E-02;4.5E-03;2.0E-03;;;;;1.4E-02;3.4E-02
AT3G13110;"SERAT2;2";"serine acetyltransferase 2;2(SERAT2;2)";6#9#11#15-16#22;3#17#23;9;1h;;;0.3;;;-0.6;;;-0.4;;-0.3;;;;-0.9;-1.3;0.7;;;;;-0.7;0.8;;;2.5E-02;;;6.3E-03;;;6.7E-03;;2.2E-03;;;;2.5E-03;8.1E-05;7.9E-04;;;;;7.7E-07;9.0E-03
AT3G48020;AT3G48020;hypothetical protein(AT3G48020);10#12#16#18-19;3#17#22-23;9;1h;;;0.9;;;;;;;;-0.5;-1.1;;;;-0.7;0.6;-1.1;-1.4;;;1.5;1.8;;;3.2E-02;;;;;;;;4.6E-02;1.5E-02;;;;9.9E-03;5.7E-03;1.6E-03;3.9E-04;;;1.3E-02;2.9E-03
AT3G01470;HB-1;homeobox 1(HB-1);10#12#15-16#18;3#17#22-23;9;1h;;;0.5;;;;;;;;-0.2;-0.5;;;-0.8;-1.5;0.7;-0.4;;;;2.2;1.0;;;6.7E-03;;;;;;;;1.8E-03;3.2E-02;;;1.1E-02;9.2E-06;1.3E-03;2.3E-02;;;;6.0E-42;4.0E-04
AT3G11580;NGAL2;AP2/B3-like transcriptional factor family protein(AT3G11580);15;3#11-12#17-18#20#22-23;9;1h;;;0.9;;;;;;;;1.0;0.8;;;-0.4;;0.4;1.3;;1.2;;1.0;1.2;;;2.0E-04;;;;;;;;7.2E-05;9.7E-03;;;3.8E-02;;4.7E-02;7.9E-04;;2.5E-02;;9.4E-04;2.1E-02
AT5G63140;PAP29;purple acid phosphatase 29(PAP29);9#20;3#11#13#16-18#21;9;1h;;;1.2;;;;;;-0.4;;0.7;;1.2;;;0.6;0.9;0.7;;-0.6;1.3;;;;;3.8E-06;;;;;;9.5E-03;;2.8E-03;;1.8E-02;;;3.1E-03;3.4E-04;8.7E-03;;3.1E-02;4.3E-02;;
AT5G60490;FLA12;FASCICLIN-like arabinogalactan-protein 12(FLA12);10#12#15-18#20-21;2;9;0.5h;;0.3;;;;;;;;;-1.0;-0.9;;;-0.9;-2.2;-0.6;-1.2;;-0.8;-1.2;;;;3.2E-02;;;;;;;;;1.1E-07;3.1E-02;;;5.5E-03;9.5E-06;1.2E-03;2.6E-04;;2.4E-02;8.1E-03;;
AT2G23410;CPT;cis-prenyltransferase(CPT);6#8#10-12#17-18#21;2;9;0.5h;;0.5;;;;-1.1;;-0.7;;-0.8;-2.0;-2.5;;;;;-0.7;-2.1;;;-1.7;;;;5.6E-03;;;;1.8E-03;;3.8E-02;;1.9E-02;4.8E-38;1.0E-03;;;;;1.5E-03;8.1E-03;;;3.6E-02;;
AT1G13740;AFP2;ABI five binding protein 2(AFP2);4#6-7#9#11#15-16#22;2;9;0.5h;;0.4;;-0.5;;-1.2;-0.9;;-0.7;;-0.9;;;;-1.2;-0.8;;;;;;-0.7;;;2.5E-03;;1.1E-03;;1.2E-03;1.4E-02;;1.0E-04;;2.0E-03;;;;1.1E-02;3.3E-03;;;;;;2.9E-02;
AT2G26530;AR781;AR781, pheromone receptor-like protein (DUF1645)(AR781);6#16#19#22;2-5#9;9;0.5h;;1.7;1.1;1.6;1.1;-0.7;;;1.4;;;;;;;-1.1;;;-1.9;;;-0.9;;;1.9E-06;2.8E-04;2.4E-06;3.2E-02;2.2E-02;;;2.3E-05;;;;;;;2.5E-02;;;1.1E-03;;;1.1E-03;
AT2G32190;AT2G32190;cysteine-rich/transmembrane domain A-like protein(AT2G32190);;2-5#7-9#11-12;9;0.5h;;1.6;1.6;1.6;1.0;;1.2;1.4;1.3;;0.8;1.8;;;;;;;;;;;;;1.8E-06;2.6E-08;1.8E-04;1.2E-02;;1.4E-02;2.5E-03;4.5E-05;;2.9E-05;1.0E-03;;;;;;;;;;;
AT3G50900;AT3G50900;hypothetical protein(AT3G50900);;2-5#7-9#11#17;9;0.5h;;0.7;1.0;0.9;0.4;;0.9;1.0;0.3;;0.3;;;;;;0.3;;;;;;;;7.7E-05;1.0E-05;3.6E-05;3.5E-02;;2.5E-02;1.3E-03;4.2E-02;;2.0E-02;;;;;;3.3E-02;;;;;;
AT5G47800;AT5G47800;Phototropic-responsive NPH3 family protein(AT5G47800);16;2-5#7-8#11#15;9;0.5h;;0.5;1.3;0.5;1.2;;1.5;0.5;;;1.5;;;;0.9;-0.4;;;;;;;;;2.5E-03;2.3E-02;1.2E-03;1.6E-03;;6.8E-04;4.8E-02;;;2.4E-12;;;;2.1E-03;4.2E-02;;;;;;;
AT3G06490;MYB108;myb domain protein 108(MYB108);;2-5#7-8#11#15-16;9;0.5h;;1.0;3.0;1.2;1.4;;2.5;1.1;;;4.0;;;;1.4;2.5;;;;;;;;;5.8E-04;3.7E-15;2.0E-04;1.3E-02;;6.0E-05;2.6E-03;;;2.5E-07;;;;1.3E-03;4.8E-05;;;;;;;
AT2G02990;RNS1;ribonuclease 1(RNS1);;2-5#7#9#16-17#22;9;0.5h;;0.5;1.0;1.0;2.1;;2.1;;0.6;;;;;;;1.0;2.3;;;;;4.4;;;1.3E-02;5.2E-04;3.1E-04;1.1E-02;;6.0E-03;;8.2E-03;;;;;;;2.2E-02;1.6E-06;;;;;3.4E-05;
AT3G55980;SZF1;salt-inducible zinc finger 1(SZF1);16#22;2-5#7#9#11;9;0.5h;;1.0;0.5;1.0;1.7;;1.0;;1.1;;0.4;;;;;-1.0;;;;;;-0.9;;;7.1E-05;1.6E-02;1.4E-04;1.1E-03;;1.5E-02;;4.1E-04;;3.1E-04;;;;;3.4E-03;;;;;;1.5E-09;
AT3G08720;S6K2;serine/threonine protein kinase 2(S6K2);;2-5#7#9#11#22-23;9;0.5h;;1.1;0.7;1.1;0.7;;0.8;;1.2;;0.4;;;;;;;;;;;1.0;1.4;;2.9E-06;1.3E-06;3.6E-05;3.8E-03;;1.4E-03;;1.8E-04;;5.2E-04;;;;;;;;;;;1.3E-03;1.7E-03
AT3G59080;AT3G59080;Eukaryotic aspartyl protease family protein(AT3G59080);;2-5#7#9#11#15-16;9;0.5h;;1.0;1.1;0.8;1.3;;1.5;;0.7;;0.5;;;;0.4;0.5;;;;;;;;;5.1E-05;2.4E-04;5.2E-05;1.5E-03;;1.7E-03;;5.7E-04;;2.3E-02;;;;4.2E-02;3.7E-02;;;;;;;
AT3G08760;ATSIK;Protein kinase superfamily protein(ATSIK);;2-5#7#9#11#15-16;9;0.5h;;0.5;1.0;0.5;1.0;;0.7;;0.4;;0.3;;;;1.1;0.5;;;;;;;;;1.2E-03;2.9E-13;1.3E-03;3.1E-03;;1.9E-02;;3.9E-03;;8.1E-03;;;;9.6E-04;2.3E-02;;;;;;;
AT3G56880;AT3G56880;VQ motif-containing protein(AT3G56880);;2-5#7#9#11#15#17;9;0.5h;;0.8;1.1;0.6;0.8;;1.1;;0.8;;0.8;;;;0.7;;0.3;;;;;;;;7.8E-05;2.4E-08;4.5E-04;1.3E-02;;5.0E-04;;3.4E-04;;4.2E-13;;;;3.0E-02;;2.6E-02;;;;;;
AT1G62300;WRKY6;WRKY family transcription factor(WRKY6);;2-5#7#11#15-16#22;9;0.5h;;0.9;1.0;0.5;1.2;;1.2;;;;0.3;;;;0.7;0.4;;;;;;2.1;;;1.2E-04;3.4E-05;5.7E-03;9.6E-04;;3.5E-04;;;;7.5E-03;;;;7.8E-03;4.7E-02;;;;;;6.6E-19;
AT1G30990;AT1G30990;Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G30990);10#11#16-19;04.פוג;9;0.5h;;0.5;0.8;0.6;;;;;;-1.5;-2.9;;;;;-0.7;-0.4;-1.3;-0.9;;;;;;1.3E-02;3.8E-02;4.1E-04;;;;;;6.0E-03;8.1E-13;;;;;7.3E-04;1.6E-02;1.6E-03;2.5E-02;;;;
AT5G67400;RHS19;root hair specific 19(RHS19);10#11#14#16;2-4#9#17;9;0.5h;;1.0;0.7;1.5;;;;;2.0;-0.8;-0.5;;;-3.6;;-1.8;0.6;;;;;;;;1.6E-05;1.8E-03;2.7E-06;;;;;3.6E-05;3.6E-02;4.1E-11;;;3.7E-03;;2.0E-03;1.2E-03;;;;;;
AT3G18200;UMAMIT4;nodulin MtN21 /EamA-like transporter family protein(UMAMIT4);6#15-16;2-4#9#17#22;9;0.5h;;0.3;0.6;0.7;;-1.9;;;0.6;;;;;;-0.6;-0.8;1.0;;;;;4.6;;;3.4E-02;1.5E-03;1.0E-04;;8.6E-04;;;4.4E-03;;;;;;1.8E-02;4.5E-03;1.0E-04;;;;;2.7E-14;
AT5G37540;AT5G37540;Eukaryotic aspartyl protease family protein(AT5G37540);1#16;2-4#9#15#17#22;9;0.5h;-0.2;0.9;0.6;0.9;;;;;1.3;;;;;;1.0;-0.8;0.6;;;;;1.0;;2.9E-02;3.6E-05;1.4E-04;2.1E-04;;;;;1.0E-04;;;;;;8.1E-03;1.8E-03;2.4E-03;;;;;1.7E-03;
AT2G35980;YLS9;Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family(YLS9);11#16#19;2-4#8-9#17;9;0.5h;;1.0;1.7;1.3;;;;1.0;0.8;;-0.6;;;;;-1.7;0.7;;-1.7;;;;;;2.1E-05;8.4E-06;2.4E-06;;;;1.7E-02;2.7E-04;;2.0E-03;;;;;2.5E-05;3.6E-03;;1.0E-02;;;;
AT4G22820;AT4G22820;A20/AN1-like zinc finger family protein(AT4G22820);11#16;2-4#8-9#17#22;9;0.5h;;0.5;0.4;0.4;;;;0.6;0.7;;-0.2;;;;;-0.8;0.7;;;;;1.1;;;5.1E-04;2.7E-02;4.1E-03;;;;2.5E-02;1.0E-04;;3.5E-02;;;;;5.1E-04;8.2E-04;;;;;2.8E-07;
AT3G60260;AT3G60260;ELMO/CED-12 family protein(AT3G60260);;2-4#7-9#15-16#22;9;0.5h;;0.9;0.4;1.0;;;0.8;0.8;0.3;;;;;;0.7;0.5;;;;;;2.4;;;3.5E-05;2.9E-02;8.1E-05;;;4.3E-03;7.3E-03;3.8E-02;;;;;;9.4E-03;1.4E-02;;;;;;8.9E-38;
AT3G14370;WAG2;Protein kinase superfamily protein(WAG2);;2-4#7-8#16-17#22-23;9;0.5h;;0.5;0.7;0.4;;;1.1;1.2;;;;;;;;1.2;0.8;;;;;2.6;2.5;;8.4E-04;7.5E-04;9.8E-03;;;9.0E-04;4.5E-03;;;;;;;;1.6E-04;2.6E-04;;;;;2.0E-17;7.6E-04
AT1G30870;AT1G30870;Peroxidase superfamily protein(AT1G30870);11#14;2-4#7#9#22-23;9;0.5h;;1.0;0.4;1.5;;;0.7;;1.4;;-0.4;;;-2.0;;;;;;;;4.3;4.3;;1.7E-04;3.5E-03;5.0E-06;;;2.7E-02;;3.4E-05;;2.4E-08;;;5.1E-07;;;;;;;;1.8E-03;5.8E-04
AT2G02220;PSKR1;phytosulfokin receptor 1(PSKR1);12#15-16;2-4#7#9#20;9;0.5h;;0.3;0.4;0.4;;;0.3;;0.4;;;-0.5;;;-0.4;-0.2;;;;0.6;;;;;2.9E-02;1.4E-03;1.9E-02;;;3.0E-02;;2.8E-03;;;4.8E-02;;;2.8E-02;3.3E-02;;;;3.5E-02;;;
AT4G32810;CCD8;carotenoid cleavage dioxygenase 8(CCD8);;2-4#7#9#11#16#22-23;9;0.5h;;0.3;2.6;0.4;;;0.8;;0.3;;4.6;;;;;0.4;;;;;;4.2;1.2;;3.2E-02;8.1E-20;5.9E-03;;;2.6E-02;;3.3E-02;;8.9E-69;;;;;2.4E-02;;;;;;3.1E-22;2.4E-02
AT2G25460;AT2G25460;EEIG1/EHBP1 protein amino-terminal domain protein(AT2G25460);;2-4#7#9#11#16#18#22;9;0.5h;;0.9;0.7;0.8;;;1.3;;1.1;;0.7;;;;;1.7;;0.7;;;;1.3;;;4.7E-03;2.8E-02;1.2E-03;;;2.9E-03;;1.5E-05;;3.3E-03;;;;;1.6E-04;;1.5E-02;;;;1.9E-05;
AT5G13220;JAZ10;jasmonate-zim-domain protein 10(JAZ10);20#22;2-4#6-7#9#16;9;0.5h;;1.1;0.9;1.0;;1.8;2.9;;1.2;;;;;;;2.4;;;;-0.9;;-2.9;;;2.5E-04;7.8E-03;9.8E-04;;6.8E-05;3.0E-03;;3.9E-04;;;;;;;1.2E-04;;;;3.1E-02;;1.3E-03;
AT3G54150;EFD;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G54150);;2-4#6-7#9#16#22-23;9;0.5h;;0.5;1.5;0.8;;0.9;1.2;;0.5;;;;;;;0.4;;;;;;3.0;1.9;;2.4E-02;7.7E-04;4.8E-03;;9.5E-03;5.7E-03;;4.3E-02;;;;;;;3.8E-02;;;;;;4.5E-10;8.2E-05
AT2G32020;AT2G32020;Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT2G32020);12#16#18;2-4#6#9#22;9;0.5h;;2.1;1.1;1.5;;1.1;;;0.5;;;-1.8;;;;-0.8;;-1.9;;;;2.8;;;1.2E-06;7.8E-06;1.3E-04;;7.0E-03;;;2.4E-03;;;3.3E-03;;;;3.0E-02;;6.4E-03;;;;1.1E-09;
AT3G15530;AT3G15530;S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT3G15530);;2-4#6#9#11-12#15-16;9;0.5h;;0.6;0.5;0.5;;0.5;;;0.6;;0.8;0.6;;;0.7;1.1;;;;;;;;;2.1E-04;4.7E-02;1.8E-03;;3.4E-02;;;2.3E-03;;1.9E-12;2.9E-02;;;4.4E-03;1.8E-05;;;;;;;
AT5G12940;AT5G12940;Leucine-rich repeat (LRR) family protein(AT5G12940);11;2-4#6#8-9#19#22;9;0.5h;;0.7;0.9;0.7;;1.4;;0.9;0.9;;-0.4;;;;;;;;0.6;;;2.6;;;1.2E-04;8.7E-09;2.0E-04;;8.2E-04;;1.1E-02;1.2E-04;;6.0E-07;;;;;;;;2.0E-02;;;1.1E-23;
AT3G42800;AT3G42800;AF-like protein(AT3G42800);;2-4#6#8#11#13#17#22;9;0.5h;;1.7;1.8;1.4;;1.6;;1.6;;;0.6;;1.3;;;;0.4;;;;;3.5;;;1.1E-06;7.2E-07;1.4E-05;;1.4E-02;;3.4E-02;;;2.7E-02;;1.2E-02;;;;1.6E-02;;;;;1.0E-08;
AT1G27140;GSTU14;glutathione S-transferase tau 14(GSTU14);9-12#17-19#21;23;9;2_3h;;;;;;;;;-0.6;-0.7;-3.3;-2.1;;;;;-2.2;-2.8;-2.1;;-1.3;;4.2;;;;;;;;;3.7E-03;1.9E-02;9.9E-81;3.0E-05;;;;;3.9E-06;4.3E-05;3.0E-03;;3.9E-02;;1.4E-03
AT5G37990;AT5G37990;S-adenosyl-L-methionine-dependent methyltransferase superfamily protein(AT5G37990);9-12#15-16#18-19;23;9;2_3h;;;;;;;;;-0.8;-0.7;-1.6;-1.6;;;-1.7;-2.1;;-2.3;-1.2;;;;2.7;;;;;;;;;1.8E-02;2.9E-02;5.0E-04;1.4E-04;;;2.0E-03;2.9E-03;;2.4E-03;1.9E-02;;;;7.2E-04
AT3G21240;4CL2;4-coumarate:CoA ligase 2(4CL2);4#6#8-9#11-12#15-16;23;9;1h;;;;-0.3;;-1.1;;-0.9;-0.3;;-1.0;-0.6;;;-0.8;-1.4;;;;;;;1.5;;;;1.2E-02;;2.1E-04;;2.1E-02;2.0E-02;;1.3E-36;3.7E-02;;;2.6E-03;3.1E-05;;;;;;;1.9E-03
AT1G27030;AT1G27030;hypothetical protein(AT1G27030);6#9#11-12#14-16#22;23;9;2_3h;;;;;;-1.2;;;-0.7;;-1.1;-1.0;;-2.6;-2.5;-1.7;;;;;;-1.5;1.4;;;;;;2.2E-03;;;2.8E-04;;3.1E-34;4.9E-03;;2.9E-05;6.3E-04;1.5E-05;;;;;;9.6E-37;2.9E-03
AT4G36640;AT4G36640;Sec14p-like phosphatidylinositol transfer family protein(AT4G36640);6#11-12#15-16#18-19#21;23;9;2_3h;;;;;;-0.6;;;;;-0.8;-0.9;;;-1.4;-0.9;;-1.0;-0.8;;-0.8;;1.3;;;;;;2.3E-02;;;;;3.8E-18;4.2E-03;;;1.0E-03;8.0E-05;;2.2E-03;3.4E-02;;2.3E-02;;7.9E-03
AT1G31950;AT1G31950;Terpenoid cyclases/Protein prenyltransferases superfamily protein(AT1G31950);2#4#9#11-12#18-19#22;23;9;0.5h;;-0.8;;-1.0;;;;;-1.1;;-0.6;-1.2;;;;;;-0.7;-0.7;;;-1.5;1.3;;3.0E-04;;6.9E-05;;;;;6.1E-04;;7.0E-12;1.9E-02;;;;;;5.9E-03;1.4E-02;;;7.9E-04;4.0E-02
AT5G25890;IAA28;indole-3-acetic acid inducible 28(IAA28);2-4#6#11#14-16;23;9;0.5h;;-0.6;-0.5;-0.7;;-1.1;;;;;-0.7;;;-1.2;-1.7;-1.1;;;;;;;1.2;;1.4E-03;6.5E-03;2.3E-03;;9.8E-04;;;;;2.6E-16;;;2.2E-02;3.3E-04;7.2E-04;;;;;;;3.3E-03
AT2G34490;CYP710A2;cytochrome P450, family 710, subfamily A, polypeptide 2(CYP710A2);9#11-12#15-16#18-19#22;23;9;2_3h;;;;;;;;;-0.6;;-3.4;-3.1;;;-0.9;-2.3;;-2.9;-2.5;;;-3.5;1.2;;;;;;;;;3.1E-03;;2.4E-24;2.9E-04;;;2.0E-03;5.3E-05;;1.4E-02;1.2E-02;;;6.7E-56;2.5E-04
AT1G73630;AT1G73630;EF hand calcium-binding protein family(AT1G73630);7#9#11#15-16#18-20;23;9;2_3h;;;;;;;-0.6;;-0.4;;-0.6;;;;-0.9;-1.2;;-0.7;-0.7;-0.7;;;0.9;;;;;;;1.0E-02;;6.5E-03;;6.3E-04;;;;2.4E-03;2.6E-04;;6.3E-03;2.5E-02;1.9E-02;;;1.2E-02
AT2G36380;ABCG34;pleiotropic drug resistance 6(ABCG34);9#11#14-16#18-19#22;23;9;2_3h;;;;;;;;;-0.3;;-0.6;;;-0.9;-0.5;-0.6;;-0.8;-0.9;;;-1.1;0.6;;;;;;;;;1.8E-02;;8.6E-13;;;1.4E-04;2.5E-02;1.2E-03;;1.3E-02;3.0E-03;;;4.3E-07;3.8E-04
AT4G29210;GGT4;gamma-glutamyl transpeptidase 4(GGT4);5#8#11-12#15-16#18-19;23;9;2_3h;;;;;-0.4;;;-0.5;;;-0.6;-1.1;;;-0.5;-1.1;;-0.6;-0.7;;;;0.6;;;;;4.4E-02;;;3.9E-02;;;2.3E-11;5.8E-03;;;3.2E-02;5.6E-04;;3.2E-02;1.2E-02;;;;2.9E-02
AT3G60080;AT3G60080;RING/U-box superfamily protein(AT3G60080);4-7#11-12#15-16;23;9;1h;;;;-0.2;-0.7;-0.4;-0.7;;;;-0.6;-0.6;;;-1.3;-1.6;;;;;;;0.5;;;;4.3E-02;8.5E-03;2.8E-02;3.1E-03;;;;1.5E-06;2.0E-02;;;2.2E-03;4.1E-06;;;;;;;4.4E-02
AT3G10190;AT3G10190;Calcium-binding EF-hand family protein(AT3G10190);5#7#15-17#22;2-3#9;9;0.5h;;0.6;0.7;;-1.5;;-1.0;;0.6;;;;;;-1.0;-0.6;-0.4;;;;;-0.9;;;1.2E-04;1.0E-02;;1.7E-03;;1.8E-04;;9.7E-04;;;;;;2.6E-02;1.8E-03;9.4E-03;;;;;1.0E-09;
AT1G33560;ADR1;Disease resistance protein (CC-NBS-LRR class) family(ADR1);;2-3#9#11#13#16-18#22;9;0.5h;;0.4;0.9;;;;;;0.3;;0.5;;0.5;;;0.4;0.5;0.7;;;;0.7;;;1.3E-02;1.6E-03;;;;;;3.1E-02;;4.2E-06;;3.4E-02;;;3.1E-02;4.9E-03;1.6E-02;;;;4.2E-06;
AT3G58060;MTP8;Cation efflux family protein(AT3G58060);;2-3#7#11-12#15#17-19;9;0.5h;;0.3;2.0;;;;1.1;;;;1.9;1.6;;;1.1;;0.6;1.3;2.0;;;;;;3.5E-02;1.5E-02;;;;2.0E-02;;;;4.2E-04;1.4E-02;;;7.9E-03;;3.3E-02;7.4E-03;4.9E-04;;;;
AT4G23750;CRF2;cytokinin response factor 2(CRF2);;2-3#5#7#11-12#15-16#22;9;0.5h;;0.5;0.9;;1.5;;3.7;;;;1.5;1.4;;;4.6;5.8;;;;;;0.3;;;1.9E-03;4.3E-06;;3.7E-03;;1.3E-04;;;;1.3E-60;8.8E-04;;;5.6E-05;1.5E-08;;;;;;2.5E-02;
AT5G42030;ABIL4;ABL interactor-like protein 4(ABIL4);15-16#22;2-3#5#11#17#19;9;0.5h;;0.4;1.0;;0.4;;;;;;0.8;;;;-0.5;-0.8;1.0;;0.8;;;-0.4;;;8.1E-03;1.5E-05;;4.9E-02;;;;;;7.0E-14;;;;3.0E-02;3.0E-04;1.6E-04;;1.8E-02;;;2.5E-02;
AT4G14980;AT4G14980;Cysteine/Histidine-rich C1 domain family protein(AT4G14980);2#4#6#8-11#17;22;9;0.5h;;-0.7;;-1.3;;-0.7;;-1.0;-1.4;-0.5;-1.3;;;;;;-0.4;;;;;3.0;;;1.0E-03;;3.5E-05;;1.9E-02;;1.1E-02;3.4E-04;2.8E-02;1.5E-03;;;;;;3.4E-03;;;;;2.4E-07;
